Base distance: 59.0

 SUMMARY (Distance, Route) :
5.0 : St6 - 
6.0 : St28 - 
5.0 : St6 - 
5.0 : St36 - 
5.0 : St6 - 
9.0 : St7 - 
7.0 : St8 - 
9.0 : St7 - 
7.0 : St8 - 
7.0 : St36 - 
7.0 : St8 - 
7.0 : St28 - 
7.0 : St8 - 
9.0 : St7 - 
7.0 : St8 - 
6.0 : St36 - 
9.0 : St8 - 
6.0 : St36 - 
7.0 : St6 - 
6.0 : St36 - 
7.0 : St28 - 
6.0 : St6 - 
7.0 : St28 - 
9.0 : St8 - 
7.0 : St28 - 
